indicator_name,theme,aggregation_function,numerator_condition,denominator_condition,disaggregation,excludeDisaggregation,includedInCensus
middle_lp2017,pobreza,pct,"income_category_lp2017==""middle""",!is.na(income_category_lp2017),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich_lp2017,pobreza,pct,"income_category_lp2017==""rich""",!is.na(income_category_lp2017),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza31_lp2017_IMF,pobreza,pct,"income_category_lp2017_CPI==""extreme""",!is.na(income_category_lp2017_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_lp2017_IMF,pobreza,pct,"income_category_lp2017_CPI==""poverty""",!is.na(income_category_lp2017_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5_lp2017_IMF,pobreza,pct,"income_category_lp2017_CPI==""poverty""|income_category_lp2017_CPI==""extreme""",!is.na(income_category_lp2017_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable_lp2017_IMF,pobreza,pct,"income_category_lp2017_CPI==""vulnerable""",!is.na(income_category_lp2017_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
middle_lp2017_IMF,pobreza,pct,"income_category_lp2017_CPI==""middle""",!is.na(income_category_lp2017_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich_lp2017_IMF,pobreza,pct,"income_category_lp2017_CPI==""rich""",!is.na(income_category_lp2017_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza31_IMF,pobreza,pct,"income_category_2011_CPI==""extreme""",!is.na(income_category_2011_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_IMF,pobreza,pct,"income_category_2011_CPI==""poverty""",!is.na(income_category_2011_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5_IMF,pobreza,pct,"income_category_2011_CPI==""poverty""|income_category_2011_CPI==""extreme""",!is.na(income_category_2011_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable_IMF,pobreza,pct,"income_category_2011_CPI==""vulnerable""",!is.na(income_category_2011_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
middle_IMF,pobreza,pct,"income_category_2011_CPI==""middle""",!is.na(income_category_2011_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich_IMF,pobreza,pct,"income_category_2011_CPI==""rich""",!is.na(income_category_2011_CPI),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza31_lp2021,pobreza,pct,"income_category_lp2021Jillie==""extreme""",!is.na(income_category_lp2021Jillie),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_lp2021,pobreza,pct,"income_category_lp2021Jillie==""poverty""",!is.na(income_category_lp2021Jillie),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5_lp2021,pobreza,pct,"income_category_lp2021Jillie==""poverty""|income_category_lp2021Jillie==""extreme""",!is.na(income_category_lp2021Jillie),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable_lp2021,pobreza,pct,"income_category_lp2021Jillie==""vulnerable""",!is.na(income_category_lp2021Jillie),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
middle_lp2021,pobreza,pct,"income_category_lp2021Jillie==""middle""",!is.na(income_category_lp2021Jillie),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich_lp2021,pobreza,pct,"income_category_lp2021Jillie==""rich""",!is.na(income_category_lp2021Jillie),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza31_lp2021IMF,pobreza,pct,"income_category_lp2021IMF==""extreme""",!is.na(income_category_lp2021IMF),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_lp2021IMF,pobreza,pct,"income_category_lp2021IMF==""poverty""",!is.na(income_category_lp2021IMF),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5_lp2021IMF,pobreza,pct,"income_category_lp2021IMF==""poverty""|income_category_lp2021IMF==""extreme""",!is.na(income_category_lp2021IMF),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable_lp2021IMF,pobreza,pct,"income_category_lp2021IMF==""vulnerable""",!is.na(income_category_lp2021IMF),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
middle_lp2021IMF,pobreza,pct,"income_category_lp2021IMF==""middle""",!is.na(income_category_lp2021IMF),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich_lp2021IMF,pobreza,pct,"income_category_lp2021IMF==""rich""",!is.na(income_category_lp2021IMF),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza31_lp2021IMFICP,pobreza,pct,"income_category_lp2021IMF_ICP==""extreme""",!is.na(income_category_lp2021IMF_ICP),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_lp2021IMFICP,pobreza,pct,"income_category_lp2021IMF_ICP==""poverty""",!is.na(income_category_lp2021IMF_ICP),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5_lp2021IMFICP,pobreza,pct,"income_category_lp2021IMF_ICP==""poverty""|income_category_lp2021IMF_ICP==""extreme""",!is.na(income_category_lp2021IMF_ICP),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable_lp2021IMFICP,pobreza,pct,"income_category_lp2021IMF_ICP==""vulnerable""",!is.na(income_category_lp2021IMF_ICP),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
middle_lp2021IMFICP,pobreza,pct,"income_category_lp2021IMF_ICP==""middle""",!is.na(income_category_lp2021IMF_ICP),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich_lp2021IMFICP,pobreza,pct,"income_category_lp2021IMF_ICP==""rich""",!is.na(income_category_lp2021IMF_ICP),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
